,authorid,Author
1,1001,J.K. Rowling
2,1002,Jane Austen
3,1003,Anne Frank
4,1004,George Orwell
5,1005,Antoine de Saint-Exupéry
6,1006,George Orwell
7,1007,F. Scott Fitzgerald
8,1008,J.D. Salinger
9,1009,J.R.R. Tolkien
10,1010,Markus Zusak
11,1011,Charlotte Brontë
12,1012,C.S. Lewis
13,1013,William Golding
14,1014,William Shakespeare
15,1015,J.K. Rowling
16,1016,Khaled Hosseini
17,1017,Lois Lowry
18,1018,Shel Silverstein
19,1019,E.B. White
20,1020,Louisa May Alcott
21,1021,Suzanne Collins
22,1022,J.R.R. Tolkien
23,1023,John Steinbeck
24,1024,Ray Bradbury
25,1025,Dr. Seuss
26,1026,J.K. Rowling
27,1027,Emily Brontë
28,1028,Lewis Carroll
29,1029,Oscar Wilde
30,1030,Elie Wiesel
31,1031,Margaret Mitchell
32,1032,Anonymous
33,1033,J.K. Rowling
34,1034,Douglas Adams
35,1035,William Shakespeare
36,1036,J.K. Rowling
37,1037,Mark Twain
38,1038,J.R.R. Tolkien
39,1039,Victor Hugo
40,1040,Paulo Coelho
41,1041,Aldous Huxley
42,1042,Fyodor Dostoevsky
43,1043,Kathryn Stockett
44,1044,Frances Hodgson Burnett
45,1045,Arthur Golden
46,1046,C.S. Lewis
47,1047,Homer
48,1048,Charles Dickens
49,1049,Dr. Seuss
50,1050,S.E. Hinton
51,1051,Gabriel García Márquez
52,1052,John Steinbeck
53,1053,Khaled Hosseini
54,1054,L.M. Montgomery
55,1055,Shel Silverstein
56,1056,Alexandre Dumas
57,1057,Orson Scott Card
58,1058,Maurice Sendak
59,1059,Alice Walker
60,1060,Charles Dickens
61,1061,Mark Twain
62,1062,Yann Martel
63,1063,Margaret Atwood
64,1064,Ken Kesey
65,1065,Mary Wollstonecraft Shelley
66,1066,Daniel Keyes
67,1067,Dr. Seuss
68,1068,Leo Tolstoy
69,1069,Mitch Albom
70,1070,A.A. Milne
71,1071,J.R.R. Tolkien
72,1072,Kurt Vonnegut Jr.
73,1073,Ernest Hemingway
74,1074,Joseph Heller
75,1075,Nathaniel Hawthorne
76,1076,William Shakespeare
77,1077,Stephenie Meyer
78,1078,Vladimir Nabokov
79,1079,Franz Kafka
80,1080,Audrey Niffenegger
81,1081,Hermann Hesse
82,1082,Albert Camus
83,1083,Margaret Wise Brown
84,1084,J.K. Rowling
85,1085,Betty  Smith
86,1086,Leo Tolstoy
87,1087,Laura Ingalls Wilder
88,1088,Anthony Burgess
89,1089,Erich Maria Remarque
90,1090,Stephen King
91,1091,Miguel de Cervantes Saavedra
92,1092,Harriet Beecher Stowe
93,1093,Anonymous
94,1094,Ayn Rand
95,1095,Fyodor Dostoevsky
96,1096,Barbara Kingsolver
97,1097,Maya Angelou
98,1098,Joseph Smith Jr.
99,1099,Herman Melville
100,1100,Dan Brown
101,1101,Charles Dickens
102,1102,Pearl S. Buck
103,1103,Corrie ten Boom
104,1104,Bram Stoker
105,1105,Madeleine L'Engle
106,1106,John Green
107,1107,Roald Dahl
108,1108,Stephen Chbosky
109,1109,Aldous Huxley
110,1110,Jane Austen
111,1111,William Goldman
112,1112,Homer
113,1113,John Steinbeck
114,1114,Wilson Rawls
115,1115,Edgar Allan Poe
116,1116,Viktor E. Frankl
117,1117,Dr. Seuss
118,1118,Suzanne Collins
119,1119,Mark Haddon
120,1120,Founding Fathers
121,1121,George R.R. Martin
122,1122,Richard  Adams
123,1123,Sylvia Plath
124,1124,Roald Dahl
125,1125,Randy Pausch
126,1126,Daphne du Maurier
127,1127,Margery Williams Bianco
128,1128,Frank Herbert
129,1129,Agatha Christie
130,1130,Ayn Rand
131,1131,Alice Sebold
132,1132,Jane Carruth
133,1133,Jack London
134,1134,Stieg Larsson
135,1135,J.R.R. Tolkien
136,1136,Mitch Albom
137,1137,George Orwell
138,1138,Patrick Süskind
139,1139,Frank McCourt
140,1140,L. Frank Baum
141,1141,J.R.R. Tolkien
142,1142,Robert Munsch
143,1143,Katherine Paterson
144,1144,John Irving
145,1145,Cormac McCarthy
146,1146,Dante Alighieri
147,1147,William Shakespeare
148,1148,Sergio Cobo
149,1149,Kahlil Gibran
150,1150,Jane Austen
151,1151,Umberto Eco
152,1152,Alexandre Dumas
153,1153,Sara Gruen
154,1154,Philip Pullman
155,1155,John Boyne
156,1156,Ken Follett
157,1157,Dr. Seuss
158,1158,Richard Bach
159,1159,Charles Dickens
160,1160,Sue Monk Kidd
161,1161,Nicholas Sparks
162,1162,Mikhail Bulgakov
163,1163,Suzanne Collins
164,1164,Arthur Conan Doyle
165,1165,Truman Capote
166,1166,Arthur  Miller
167,1167,Joseph Conrad
168,1168,Carlos Ruiz Zafón
169,1169,Anita Diamant
170,1170,Gabriel García Márquez
171,1171,Jeannette Walls
172,1172,O. Henry
173,1173,Milan Kundera
174,1174,Elizabeth Gilbert
175,1175,Anne Rice
176,1176,Geoffrey Chaucer
177,1177,Jack Kerouac
178,1178,Sun Tzu
179,1179,Aesop
180,1180,C.S. Lewis
181,1181,Chuck Palahniuk
182,1182,J.R.R. Tolkien
183,1183,Robert Louis Stevenson
184,1184,Jonathan Swift
185,1185,Mario Puzo
186,1186,Daniel Defoe
187,1187,Henry David Thoreau
188,1188,Charles Darwin
189,1189,Ralph Ellison
190,1190,Jane Austen
191,1191,Niccolò Machiavelli
192,1192,Jostein Gaarder
193,1193,Jacob Grimm
194,1194,Franz Kafka
195,1195,H.G. Wells
196,1196,Alan Moore
197,1197,Alex Haley
198,1198,Voltaire
199,1199,Toni Morrison
200,1200,Ian McEwan
201,1201,Beatrice Sparks
202,1202,Jodi Picoult
203,1203,Natalie Babbitt
204,1204,Robert A. Heinlein
205,1205,Ernest Hemingway
206,1206,Veronica Roth
207,1207,Marion Zimmer Bradley
208,1208,C.S. Lewis
209,1209,Beatrix Potter
210,1210,Norton Juster
211,1211,Tim O'Brien
212,1212,Rick Riordan
213,1213,Agatha Christie
214,1214,Lois Lowry
215,1215,Founding Fathers
216,1216,Dee Brown
217,1217,Roald Dahl
218,1218,Art Spiegelman
219,1219,Douglas Adams
220,1220,Jeffrey Eugenides
221,1221,Thomas Keneally
222,1222,Malcolm X
223,1223,Bill Watterson
224,1224,Frances Hodgson Burnett
225,1225,Dave Pelzer
226,1226,Greg Mortenson
227,1227,Walt Whitman
228,1228,Jon Krakauer
229,1229,Zora Neale Hurston
230,1230,Kenneth Grahame
231,1231,Laurie Halse Anderson
232,1232,J.M. Barrie
233,1233,Plato
234,1234,Howard Zinn
235,1235,John Irving
236,1236,Neil Gaiman
237,1237,Louis Sachar
238,1238,John Green
239,1239,Helen Keller
240,1240,Ki Longfellow
241,1241,Chinua Achebe
242,1242,Arthur Conan Doyle
243,1243,Bill Bryson
244,1244,Terry Pratchett
245,1245,Jerry Weaver
246,1246,Stephen Hawking
247,1247,سید مرتضی مصطفوی
248,1248,Scott O'Dell
249,1249,Ernest Hemingway
250,1250,Kurt Vonnegut Jr.
251,1251,John Knowles
252,1252,José Saramago
253,1253,Hans Christian Andersen
254,1254,Edgar Allan Poe
255,1255,William Paul Young
256,1256,Richard Dawkins
257,1257,Fannie Flagg
258,1258,Gustave Flaubert
259,1259,Amy Tan
260,1260,Lao Tzu
261,1261,William Styron
262,1262,Michael Ende
263,1263,John Kennedy Toole
264,1264,Kazuo Ishiguro
265,1265,Dale Carnegie
266,1266,Jonathan Safran Foer
267,1267,Ki Longfellow
268,1268,Jean M. Auel
269,1269,Jared Diamond
270,1270,Dan Brown
271,1271,Thomas Hardy
272,1272,Alice Walker
273,1273,Diana Gabaldon
274,1274,Stephenie Meyer
275,1275,Benjamin Hoff
276,1276,Aleksandr Solzhenitsyn
277,1277,Stephen R. Covey
278,1278,James Joyce
279,1279,Shel Silverstein
280,1280,Barbara Ehrenreich
281,1281,Stephenie Meyer
282,1282,Upton Sinclair
283,1283,Larry McMurtry
284,1284,Patrick Rothfuss
285,1285,Gaston Leroux
286,1286,John Milton
287,1287,Dr. Seuss
288,1288,Arundhati Roy
289,1289,James Herriot
290,1290,Judy Blume
291,1291,Stephen King
292,1292,Homer
293,1293,Isabel Allende
294,1294,Robert Louis Stevenson
295,1295,Stephen King
296,1296,Alan Moore
297,1297,William Shakespeare
298,1298,Stephenie Meyer
299,1299,Isaac Asimov
300,1300,William Shakespeare
301,1301,Laura Ingalls Wilder
302,1302,Neil Gaiman
303,1303,Mary Ann Shaffer
304,1304,William Strunk Jr.
305,1305,Oscar Wilde
306,1306,J.K. Rowling
307,1307,Ernest Hemingway
308,1308,Charles Dickens
309,1309,Laura Hillenbrand
310,1310,Stieg Larsson
311,1311,Colleen McCullough
312,1312,Robert M. Pirsig
313,1313,Arthur  Miller
314,1314,Bill Bryson
315,1315,William Shakespeare
316,1316,Karl Marx
317,1317,Unknown
318,1318,Haruki Murakami
319,1319,Gregory Maguire
320,1320,Stephen King
321,1321,Emma Donoghue
322,1322,Rohinton Mistry
323,1323,Christopher Paolini
324,1324,Chaim Potok
325,1325,Jay Asher
326,1326,Tim Butcher
327,1327,Kate Chopin
328,1328,Ray Bradbury
329,1329,Bernhard Schlink
330,1330,Spencer Johnson
331,1331,Albert Camus
332,1332,Stephenie Meyer
333,1333,Christopher Moore
334,1334,Bill Watterson
335,1335,Alan Paton
336,1336,Philip K. Dick
337,1337,Anonymous
338,1338,William Shakespeare
339,1339,R.D. Ronald
340,1340,Hermann Hesse
341,1341,Stieg Larsson
342,1342,Johann Wolfgang von Goethe
343,1343,Dalton Trumbo
344,1344,John Irving
345,1345,Sophocles
346,1346,Dante Alighieri
347,1347,John Bunyan
348,1348,Haruki Murakami
349,1349,James Clavell
350,1350,N.H. Kleinbaum
351,1351,Hunter S. Thompson
352,1352,A.A. Milne
353,1353,Thomas Paine
354,1354,Ray Bradbury
355,1355,Michael Crichton
356,1356,Sophocles
357,1357,Gillian Flynn
358,1358,Bryce Courtenay
359,1359,Gary Paulsen
360,1360,Nicholas Sparks
361,1361,R.J. Palacio
362,1362,Marjane Satrapi
363,1363,Gregory David Roberts
364,1364,Garth Stein
365,1365,Cassandra Clare
366,1366,Philip Pullman
367,1367,Rachel Carson
368,1368,David Mitchell
369,1369,Rebecca Skloot
370,1370,Carl Sagan
371,1371,R.D. Ronald
372,1372,Richard Wright
373,1373,Tennessee Williams
