bookid,authorid,publisherid,Book,Genureid,Avg_Rating
1,1000,10000,To Kill a Mockingbird,90000,4.27
2,1001,10001,Harry Potter and the Philosopher’s Stone (Harry Potter #1),90001,4.47
3,1002,10002,Pride and Prejudice,90002,4.28
4,1003,10003,The Diary of a Young Girl,90003,4.18
5,1004,10004,Animal Farm,90004,3.98
6,1005,10005,The Little Prince,90005,4.32
7,1006,10006,1984,90006,4.19
8,1007,10007,The Great Gatsby,90007,3.93
9,1008,10008,The Catcher in the Rye,90008,3.81
10,1009,10009,The Lord of the Rings,90009,4.52
11,1010,10010,The Book Thief,90010,4.39
12,1011,10011,Jane Eyre,90011,4.14
13,1012,10012,The Chronicles of Narnia (Chronicles of Narnia #1-7),90012,4.27
14,1013,10013,Lord of the Flies,90013,3.69
15,1014,10014,Romeo and Juliet,90014,3.74
16,1015,10015,Harry Potter and the Deathly Hallows (Harry Potter #7),90015,4.62
17,1016,10016,The Kite Runner,90016,4.33
18,1017,10017,The Giver (The Giver #1),90017,4.12
19,1018,10018,The Giving Tree,90018,4.38
20,1019,10019,Charlotte's Web,90019,4.19
21,1020,10020,Little Women,90020,4.14
22,1021,10021,The Hunger Games (The Hunger Games #1),90021,4.33
23,1022,10022,The Hobbit (The Lord of the Rings #0),90022,4.28
24,1023,10023,Of Mice and Men,90023,3.88
25,1024,10024,Fahrenheit 451,90024,3.97
26,1025,10025,Green Eggs and Ham,90025,4.3
27,1026,10026,Harry Potter and the Prisoner of Azkaban (Harry Potter #3),90026,4.58
28,1027,10027,Wuthering Heights,90027,3.88
29,1028,10028,Alice's Adventures in Wonderland / Through the Looking-Glass,90028,4.06
30,1029,10029,The Picture of Dorian Gray,90029,4.12
31,1030,10030,Night  (The Night Trilogy #1),90030,4.36
32,1031,10031,Gone with the Wind,90031,4.3
33,1032,10032,The Holy Bible: King James Version,90032,4.43
34,1033,10033,Harry Potter and the Goblet of Fire (Harry Potter #4),90033,4.56
35,1034,10034,The Hitchhiker's Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy #1),90034,4.23
