copyid,bookid,status
780,1,borrowed
781,2,out of stock
782,3,available
783,4,out of stock
784,5,borrowed
785,6,borrowed
786,7,available
787,8,borrowed
788,9,borrowed
789,10,borrowed
790,11,out of stock
791,12,available
792,13,out of stock
793,14,out of stock
794,15,out of stock
795,16,available
796,17,available
797,18,out of stock
798,19,available
799,20,available
800,21,borrowed
801,22,available
802,23,available
803,24,borrowed
804,25,out of stock
805,26,borrowed
806,27,available
807,28,borrowed
808,29,available
809,30,available
810,31,available
811,32,out of stock
812,33,borrowed
813,34,out of stock
814,35,borrowed
815,36,out of stock
816,37,available
817,38,out of stock
818,39,available
819,40,available
820,41,out of stock
821,42,borrowed
822,43,borrowed
823,44,available
824,45,out of stock
825,46,out of stock
826,47,available
827,48,out of stock
828,49,available
829,50,available
830,51,available
831,52,out of stock
832,53,borrowed
833,54,available
834,55,borrowed
835,56,available
836,57,borrowed
837,58,borrowed
838,59,borrowed
839,60,borrowed
840,61,borrowed
841,62,available
842,63,out of stock
843,64,borrowed
844,65,out of stock
845,66,available
846,67,available
847,68,available
848,69,borrowed
849,70,borrowed
850,71,available
851,72,borrowed
852,73,available
853,74,out of stock
854,75,borrowed
855,76,borrowed
856,77,out of stock
857,78,available
858,79,out of stock
859,80,out of stock
860,81,available
861,82,borrowed
862,83,available
863,84,available
864,85,out of stock
865,86,borrowed
866,87,out of stock
867,88,borrowed
868,89,available
869,90,borrowed
870,91,available
871,92,borrowed
872,93,borrowed
873,94,borrowed
874,95,available
875,96,available
876,97,out of stock
877,98,borrowed
878,99,available
879,100,borrowed
880,101,available
881,102,out of stock
882,103,borrowed
883,104,available
884,105,out of stock
885,106,available
886,107,available
887,108,available
888,109,out of stock
889,110,available
890,111,borrowed
891,112,out of stock
892,113,available
893,114,available
894,115,out of stock
895,116,borrowed
896,117,borrowed
897,118,borrowed
898,119,out of stock
899,120,out of stock
900,121,borrowed
901,122,available
902,123,out of stock
903,124,available
904,125,out of stock
905,126,available
906,127,available
907,128,available
908,129,available
909,130,out of stock
910,131,borrowed
911,132,borrowed
912,133,out of stock
913,134,out of stock
914,135,borrowed
915,136,borrowed
916,137,borrowed
917,138,out of stock
918,139,available
919,140,out of stock
920,141,out of stock
921,142,available
922,143,out of stock
923,144,borrowed
924,145,borrowed
925,146,borrowed
926,147,available
927,148,borrowed
928,149,available
929,150,out of stock
930,151,out of stock
931,152,borrowed
932,153,borrowed
933,154,available
934,155,borrowed
