fineid,memberid,transid,amount,paid
1,888,710,7.39,1
2,889,711,21.71,0
3,890,712,15.74,1
4,891,713,24.34,0
5,892,714,34.45,0
6,893,715,32.7,1
7,894,716,44.62,1
8,895,717,45.88,1
9,896,718,43.16,1
10,897,719,9.57,0
11,898,720,21.65,0
12,899,721,15.54,0
13,900,722,31.88,0
14,901,723,23.98,0
15,902,724,46.44,0
16,903,725,13.26,1
17,904,726,15.99,1
18,905,727,31.11,1
19,906,728,20.64,0
20,907,729,40.95,1
21,908,730,9.3,1
22,909,731,36.26,1
23,910,732,13.84,1
24,911,733,8.54,1
25,912,734,19.61,0
26,913,735,45.85,0
27,914,736,35.78,1
28,915,737,38.26,1
29,916,738,28.54,1
30,917,739,37.94,1
31,918,740,28.78,1
32,919,741,49.2,0
33,920,742,12.66,0
34,921,743,24.76,0
35,922,744,16.42,0
36,923,745,19.18,0
37,924,746,28.52,0
38,925,747,25.92,1
39,926,748,37.55,1
40,927,749,49.08,1
41,928,750,45.57,0
42,929,751,5.55,0
43,930,752,39.19,0
44,931,753,25.61,0
45,932,754,9.59,1
46,933,755,5.61,1
47,934,756,34.72,0
48,935,757,36.48,0
49,936,758,29.88,1
50,937,759,10.08,1
51,938,760,14.64,0
52,939,761,12.35,1
53,940,762,23.38,0
54,941,763,45.29,1
55,942,764,14.54,1
56,943,765,30.68,0
57,944,766,22.16,1
58,945,767,43.95,1
59,946,768,40.93,0
60,947,769,17.22,0
61,948,770,28.97,1
62,949,771,43.09,1
63,950,772,28.62,0
64,951,773,33.21,1
65,952,774,7.03,1
66,953,775,15.32,0
67,954,776,15.22,1
68,955,777,21.06,0
69,956,778,34.35,1
70,957,779,47.95,0
71,958,780,48.27,0
72,959,781,19.49,0
73,960,782,37.64,0
74,961,783,42.68,0
75,962,784,39.08,1
76,963,785,32.68,0
77,964,786,39.64,1
78,965,787,43.33,1
79,966,788,44.29,1
80,967,789,5.74,1
81,968,790,11.39,1
82,969,791,47.63,0
83,970,792,47.15,1
84,971,793,49.55,1
85,972,794,48.32,0
86,973,795,10.46,0
87,974,796,35.54,1
88,975,797,39.28,0
89,976,798,6.56,1
90,977,799,13.34,1
91,978,800,27.35,0
92,979,801,8.58,1
93,980,802,19.08,1
94,981,803,19.59,0
95,982,804,41.14,0
96,983,805,27.48,1
97,984,806,9.23,0
98,985,807,40.35,0
99,986,808,38.77,1
100,987,809,48.92,0
101,988,810,33.31,1
102,989,811,31.73,0
103,990,812,29.26,1
104,991,813,34.16,0
105,992,814,24.09,1
106,993,815,49.12,1
107,994,816,40.28,0
108,995,817,47.03,1
109,996,818,27.78,0
110,997,819,13.81,0
111,998,820,13.66,1
112,999,821,16.75,0
113,1000,822,25.99,0
114,1001,823,35.02,0
115,1002,824,8.8,0
116,1003,825,47.34,1
117,1004,826,36.87,0
118,1005,827,32.12,0
119,1006,828,48.89,0
120,1007,829,45.62,1
121,1008,830,34.25,1
122,1009,831,20.08,1
123,1010,832,48.13,1
124,1011,833,34.18,0
125,1012,834,31.45,1
126,1013,835,25.0,0
127,1014,836,36.08,1
128,1015,837,47.75,1
129,1016,838,35.37,0
130,1017,839,44.68,0
131,1018,840,24.56,0
132,1019,841,40.92,0
133,1020,842,24.96,1
134,1021,843,30.62,1
135,1022,844,10.24,0
136,1023,845,7.23,1
137,1024,846,40.05,0
138,1025,847,27.76,1
139,1026,848,20.05,0
140,1027,849,30.45,0
141,1028,850,35.8,1
142,1029,851,41.7,0
143,1030,852,15.41,0
144,1031,853,21.16,0
145,1032,854,9.81,0
146,1033,855,12.79,1
147,1034,856,9.85,0
148,1035,857,24.23,1
149,1036,858,20.33,0
150,1037,859,41.58,0
151,1038,860,29.21,1
152,1039,861,13.0,0
153,1040,862,14.09,1
154,1041,863,45.13,0
155,1042,864,42.67,1
156,1043,865,49.03,1
157,1044,866,18.7,0
158,1045,867,12.11,1
159,1046,868,12.1,0
160,1047,869,46.64,0
161,1048,870,25.0,1
162,1049,871,15.28,1
163,1050,872,30.29,1
164,1051,873,40.96,1
165,1052,874,12.83,0
166,1053,875,44.6,0
167,1054,876,16.07,0
168,1055,877,14.68,1
169,1056,878,16.19,0
170,1057,879,24.41,1
171,1058,880,14.59,1
172,1059,881,15.69,0
173,1060,882,21.79,1
174,1061,883,21.03,1
175,1062,884,43.87,1
176,1063,885,40.44,1
177,1064,886,28.55,1
178,1065,887,32.51,0
179,1066,888,46.75,1
180,1067,889,18.1,0
181,1068,890,17.28,1
182,1069,891,18.88,0
183,1070,892,13.01,1
184,1071,893,30.01,1
185,1072,894,12.82,1
186,1073,895,36.43,0
187,1074,896,13.47,0
188,1075,897,10.74,0
189,1076,898,29.31,1
190,1077,899,44.04,1
191,1078,900,26.01,0
192,1079,901,36.82,1
193,1080,902,8.01,0
194,1081,903,27.33,0
195,1082,904,6.31,0
196,1083,905,24.74,1
197,1084,906,38.16,1
198,1085,907,47.74,0
199,1086,908,34.53,0
200,1087,909,24.06,1
201,1088,910,46.14,0
202,1089,911,8.28,1
203,1090,912,35.28,0
204,1091,913,29.22,0
205,1092,914,8.61,0
206,1093,915,19.18,0
207,1094,916,47.25,1
208,1095,917,40.97,0
209,1096,918,25.13,0
210,1097,919,35.31,1
211,1098,920,44.12,1
212,1099,921,14.74,1
213,1100,922,10.49,0
214,1101,923,39.4,1
215,1102,924,21.03,0
216,1103,925,31.95,1
217,1104,926,21.74,1
218,1105,927,17.1,0
219,1106,928,18.91,0
220,1107,929,13.01,0
221,1108,930,38.7,0
222,1109,931,9.63,1
223,1110,932,30.26,0
224,1111,933,5.39,0
225,1112,934,7.9,0
226,1113,935,42.03,0
227,1114,936,23.27,0
228,1115,937,25.78,1
229,1116,938,22.39,0
230,1117,939,37.93,0
231,1118,940,33.25,1
232,1119,941,29.78,0
233,1120,942,37.29,1
234,1121,943,21.34,1
235,1122,944,31.06,1
236,1123,945,12.45,1
237,1124,946,33.34,1
238,1125,947,22.79,0
239,1126,948,5.77,1
240,1127,949,14.99,0
241,1128,950,49.83,1
242,1129,951,43.45,1
243,1130,952,27.03,0
244,1131,953,33.33,0
245,1132,954,28.22,0
246,1133,955,15.92,0
247,1134,956,49.5,0
248,1135,957,16.86,0
249,1136,958,29.93,1
250,1137,959,31.28,0
251,1138,960,49.15,1
252,1139,961,26.85,0
253,1140,962,34.78,0
254,1141,963,19.85,1
255,1142,964,40.18,0
256,1143,965,15.77,1
257,1144,966,16.09,0
258,1145,967,13.87,1
259,1146,968,7.44,1
260,1147,969,35.97,1
261,1148,970,8.71,0
262,1149,971,20.48,1
